"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 10:50:49 UTC 2022","Mon Oct 10 10:50:54 UTC 2022","4442","Chrome","","Products API tests: CRUD > Batch update products","","","can batch create products",""
"passed","Mon Oct 10 10:51:06 UTC 2022","Mon Oct 10 10:51:09 UTC 2022","3171","Chrome","","Shipping methods API tests","","","can add a Flat rate shipping method",""
"passed","Mon Oct 10 10:48:46 UTC 2022","Mon Oct 10 10:48:47 UTC 2022","1848","Chrome","","Batch update coupons","","","can batch create coupons",""
"passed","Mon Oct 10 10:51:36 UTC 2022","Mon Oct 10 10:51:38 UTC 2022","1846","Chrome","","Tax Rates API tests: CRUD > Retrieve after create","","","can retrieve a tax rate",""
"passed","Mon Oct 10 04:20:29 UTC 2022","Mon Oct 10 04:20:32 UTC 2022","2716","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Mon Oct 10 10:48:49 UTC 2022","Mon Oct 10 10:48:54 UTC 2022","5145","Chrome","","Batch update coupons","","","can batch delete coupons",""
"passed","Mon Oct 10 10:48:55 UTC 2022","Mon Oct 10 10:48:57 UTC 2022","1826","Chrome","","Order Search API tests","","","can search by billing state",""
"passed","Mon Oct 10 04:22:07 UTC 2022","Mon Oct 10 04:22:13 UTC 2022","5486","","Refunds API tests","","Refunds API tests","can create a refund","can create a refund",""
"passed","Mon Oct 10 04:22:38 UTC 2022","Mon Oct 10 04:22:41 UTC 2022","2621","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"failed","Mon Oct 10 10:50:37 UTC 2022","Mon Oct 10 10:51:05 UTC 2022","28254","Chrome","","Orders API test","","","can add complex order",""
"passed","Mon Oct 10 04:20:14 UTC 2022","Mon Oct 10 04:20:17 UTC 2022","2889","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Mon Oct 10 10:49:43 UTC 2022","Mon Oct 10 10:49:45 UTC 2022","1549","Chrome","","Orders API tests: CRUD > Create an order > Order Notes tests","","","can retrieve an order note",""
"skipped","Mon Oct 10 10:54:23 UTC 2022","Mon Oct 10 10:54:23 UTC 2022","1","Chrome","","Products API tests: List All Products > List all products","","","parent",""
"passed","Mon Oct 10 10:51:21 UTC 2022","Mon Oct 10 10:51:23 UTC 2022","1515","Chrome","","Shipping zones API tests","","","cannot update the default shipping zone",""
"passed","Mon Oct 10 10:51:13 UTC 2022","Mon Oct 10 10:51:22 UTC 2022","9118","Chrome","","Refunds API tests","","","can delete a refund",""
"passed","Mon Oct 10 10:51:23 UTC 2022","Mon Oct 10 10:51:24 UTC 2022","1629","Chrome","","Shipping zones API tests","","","can create a shipping zone",""
"passed","Mon Oct 10 04:18:18 UTC 2022","Mon Oct 10 04:18:21 UTC 2022","2715","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"passed","Mon Oct 10 04:18:16 UTC 2022","Mon Oct 10 04:18:18 UTC 2022","2586","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
